run_id,ablation,task_name,bundle_relpath,policy_id,policy_path,policy_sha256,verifier_pack_path,verifier_pack_sha256,decision_function_path,decision_function_sha256
20260216_145600,A1,Valid Parenthesis String,bundles/20260216_145600/A1/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145600,A2,Valid Parenthesis String,bundles/20260216_145600/A2/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145600,A3,Valid Parenthesis String,bundles/20260216_145600/A3/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145812,A1,Valid Parenthesis String,bundles/20260216_145812/A1/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145812,A2,Valid Parenthesis String,bundles/20260216_145812/A2/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145812,A3,Valid Parenthesis String,bundles/20260216_145812/A3/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145940,A1,Valid Parenthesis String,bundles/20260216_145940/A1/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145940,A2,Valid Parenthesis String,bundles/20260216_145940/A2/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145940,A3,Valid Parenthesis String,bundles/20260216_145940/A3/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145606,A1,Valid Parenthesis String,bundles/20260216_145606/A1/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145606,A2,Valid Parenthesis String,bundles/20260216_145606/A2/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145606,A3,Valid Parenthesis String,bundles/20260216_145606/A3/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145819,A1,Valid Parenthesis String,bundles/20260216_145819/A1/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145819,A2,Valid Parenthesis String,bundles/20260216_145819/A2/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145819,A3,Valid Parenthesis String,bundles/20260216_145819/A3/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145947,A1,Valid Parenthesis String,bundles/20260216_145947/A1/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145947,A2,Valid Parenthesis String,bundles/20260216_145947/A2/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145947,A3,Valid Parenthesis String,bundles/20260216_145947/A3/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145630,A1,Complex Point Transform Chain,bundles/20260216_145630/A1/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145630,A2,Complex Point Transform Chain,bundles/20260216_145630/A2/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145630,A3,Complex Point Transform Chain,bundles/20260216_145630/A3/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145848,A1,Complex Point Transform Chain,bundles/20260216_145848/A1/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145848,A2,Complex Point Transform Chain,bundles/20260216_145848/A2/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145848,A3,Complex Point Transform Chain,bundles/20260216_145848/A3/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_150013,A1,Complex Point Transform Chain,bundles/20260216_150013/A1/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_150013,A2,Complex Point Transform Chain,bundles/20260216_150013/A2/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_150013,A3,Complex Point Transform Chain,bundles/20260216_150013/A3/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145655,A1,Complex Point Transform Chain,bundles/20260216_145655/A1/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145655,A2,Complex Point Transform Chain,bundles/20260216_145655/A2/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145655,A3,Complex Point Transform Chain,bundles/20260216_145655/A3/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145914,A1,Complex Point Transform Chain,bundles/20260216_145914/A1/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145914,A2,Complex Point Transform Chain,bundles/20260216_145914/A2/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145914,A3,Complex Point Transform Chain,bundles/20260216_145914/A3/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_150059,A1,Complex Point Transform Chain,bundles/20260216_150059/A1/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_150059,A2,Complex Point Transform Chain,bundles/20260216_150059/A2/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_150059,A3,Complex Point Transform Chain,bundles/20260216_150059/A3/hard2_complex_transform,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260208_111245,A1,Maximum Length of Pair Chain,bundles/20260208_111245/A1/lcb_v6_003,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260208_111245,A2,Maximum Length of Pair Chain,bundles/20260208_111245/A2/lcb_v6_003,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260208_111245,A3,Maximum Length of Pair Chain,bundles/20260208_111245/A3/lcb_v6_003,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
