case_id,task_name,ablation,runs,solved_runs,solve_rate,best_round_min_solved,best_round_mean_solved,rounds_used_mean_all,events_jsonl_aggregate_sha256,bundle_manifest_aggregate_sha256,integrity_json_aggregate_sha256,replay_json_aggregate_sha256,bundle_relpaths_joined
AGICE Demo Replay,Adjacent-Peg Tower of Hanoi,A1,3,2,0.666667,4,5,6,97b901e7b21a508aebec5c5a86eeca6da64d9a940511d43dcabfcbec2e38c917,5e799ab792bd2e4afcd53470b39331375d0300b07221ec6749b034f192644b53,148e89c2806c5f989edbcff213554181e979c12b5fca506d31430bacfb120acd,9924d042397ccb6888cc91a087e9155511332b886a25fdeced2826a51e41f79e,bundles/20260220_095005/seed100/A1/adjacent_hanoi | bundles/20260220_095005/seed200/A1/adjacent_hanoi | bundles/20260220_095005/seed42/A1/adjacent_hanoi
AGICE Demo Replay,Adjacent-Peg Tower of Hanoi,A2,3,2,0.666667,5,5.5,6,ca25f5024d39297117acb23a66169f7ffe11e1bbc7644180cfb786de26a632b1,37544d9e410537354f668f5d2d4e631298d1bc87eb333d7d99276b27819c73b7,76a7e1e4ec6632de72db7a82e1112dcbe5f909880e46da5d111a117abfe1a1a8,6dbb452ee46a9ffde68e004e49693b80906561aebada609675b056df8af8d18b,bundles/20260220_095005/seed100/A2/adjacent_hanoi | bundles/20260220_095005/seed200/A2/adjacent_hanoi | bundles/20260220_095005/seed42/A2/adjacent_hanoi
AGICE Demo Replay,Adjacent-Peg Tower of Hanoi,A3,3,3,1.0,5,5.666667,6,5d29d4db4bbc159b94184ced5767aac1674ab889f3d2d2935eb52960c10f093b,97ce27535f8156c94a9502edc8d0c89001809850c6e4cb71fab38560042ab3c0,a7600cfd869ae1e3eb8e215cf47a15c943108d2e3a8c6a75cd60b363177a5046,6b8e92988bb67faf74dacab7d5db73b3726becd013c03ebc07194cd775f9a7e3,bundles/20260220_095005/seed100/A3/adjacent_hanoi | bundles/20260220_095005/seed200/A3/adjacent_hanoi | bundles/20260220_095005/seed42/A3/adjacent_hanoi
AGICE Demo Replay,Basic Calculator III,A1,3,0,0.0,,,6,b9de2bb1cbea6403b8d275c0039d1cad6b6a4d2e0a8c470f421220bc64dc2d9e,ce637140480cfafc9f17ec8765b52ecb09f7dfbb8ca74852438b353b6bf8c296,96b62fc3561af85aa334b86a5f45a411f5d5429b1b70334dda087c6b6d316feb,2d781eb040abf37cce14a6326a37fc8e280bbbb83a346385abaa7fc9a719474d,bundles/20260220_095005/seed100/A1/ss_010 | bundles/20260220_095005/seed200/A1/ss_010 | bundles/20260220_095005/seed42/A1/ss_010
AGICE Demo Replay,Basic Calculator III,A2,3,0,0.0,,,6,767e42e34c8da21b6dbe746f0863ac881de94081ec82c32eff542b35d882376f,3551769d5559fe7eefa44cfda310c01852955c28d1a42f9ed8d478fe56050458,38929aa0e189eab221c5cf95071a363fb149d07541dfe36f3d25815044529565,8f6a27ad7ca2271736c4aa03fdced2adeffc67955b7742db5ed7c00203746882,bundles/20260220_095005/seed100/A2/ss_010 | bundles/20260220_095005/seed200/A2/ss_010 | bundles/20260220_095005/seed42/A2/ss_010
AGICE Demo Replay,Basic Calculator III,A3,3,1,0.333333,6,6,6,76b641a4add4baa95f722edada2d913b547f00f15d63424898f7684594499c52,567209660bd1e7effdb3c4e705b7efbdcda05be551d877d4ac1c7ea275b754eb,aaf06ba86f7410eb3018b910d822a8940331cd772231e431fcc2a09c83b4dc9a,e35a142083118c26589ef12000c49a96d7048f008be60db7ef583c2b72c5d210,bundles/20260220_095005/seed100/A3/ss_010 | bundles/20260220_095005/seed200/A3/ss_010 | bundles/20260220_095005/seed42/A3/ss_010
AGICE Demo Replay,Radial Point Sort,A1,3,0,0.0,,,6,59ea922f92df7151fab8a82eaf7de584fb70dde6e3c1ffc36c930cd8c0114e6a,6c32d348b625d87acb9da5e5cd856bc2671e2f9ab74f85edd7b3184c5d655a92,5268ef89c536855a002911d83f6ff323c0e57a58521ffb64a1b2a115682f00ff,f3426520e5ce5cbadede6be50fdfd4b6f7279e57e30296363040794ef060e549,bundles/20260220_095005/seed100/A1/hard2_angular_sort | bundles/20260220_095005/seed200/A1/hard2_angular_sort | bundles/20260220_095005/seed42/A1/hard2_angular_sort
AGICE Demo Replay,Radial Point Sort,A2,3,3,1.0,3,5,6,7fcf4bd2c7e60ae27b8e17b45064680f9b2f48e03a658f374a08d62aa06bceb9,0057051ac07afd71095ce888221caa50ad2f12ed2cae73cc61d0eabdff3617e2,d471c7ad3463ecea92234f4ae5813fdb99b6c16ff3c44142959dbfec675f7b98,63debb276c1139c055fe0bd8672b4d32dd495e09eebd6ff141749e387fbfb5d5,bundles/20260220_095005/seed100/A2/hard2_angular_sort | bundles/20260220_095005/seed200/A2/hard2_angular_sort | bundles/20260220_095005/seed42/A2/hard2_angular_sort
AGICE Demo Replay,Radial Point Sort,A3,3,3,1.0,4,5.333333,6,51727038b51e913f315f24db4da577502333bf6b2759ef0850b92f740e7dd75f,6503fe7f4f65be4d75fd06fc74f882a33598b0b747ce94496f1a811d785d5c1a,3f53fbee38687c430d5978ff7ab231453222b7dad65f96ef205a79dc2a9ddf7e,f3c83079332b4836a2e46e4082160689a2f4d9776d98884cec5da28e85b0f8e8,bundles/20260220_095005/seed100/A3/hard2_angular_sort | bundles/20260220_095005/seed200/A3/hard2_angular_sort | bundles/20260220_095005/seed42/A3/hard2_angular_sort
AGICE Demo Replay,Task Scheduler,A1,3,2,0.666667,6,6,6,0aeff4605c15c8e9ac74651e33115be71f6ba1f1a390dd69279828fa7c6ada9c,eb94d3fa9808fc3b8ea8cac9ed9a1bb86aaf6d3a1739379dab254dc38b719798,b665cc53304eb56b39c67db18c5b904ed54eaa28621a2d0d240fd868c2b74e32,d4b710a6ceb9590bcd1a7fe3b5ea6183bf9661dea001b896fb65548c14e94f1e,bundles/20260220_095005/seed100/A1/ss_007 | bundles/20260220_095005/seed200/A1/ss_007 | bundles/20260220_095005/seed42/A1/ss_007
AGICE Demo Replay,Task Scheduler,A2,3,3,1.0,6,6,6,5978406ef6f7592f489ab0e81aaf147633dc02cd4786797f1efb0131e31e7229,81296a462e044a1f8562feca0db6cd1c5ea94901494ad77cc7be6ba2d4a9330d,ee0b290e76b1dccbb03af16b4d726b074b698bd9791c7adc7a7c01fda3aac053,a6601550f947f087191296a432ca4348932d7d0f20c118bfc78d86793037b428,bundles/20260220_095005/seed100/A2/ss_007 | bundles/20260220_095005/seed200/A2/ss_007 | bundles/20260220_095005/seed42/A2/ss_007
AGICE Demo Replay,Task Scheduler,A3,3,3,1.0,6,6,6,89a4cb3ef59ef47f38c322ede4fce657d0850ebe61b792163b502f56011a27f9,0ae6cec2ba465a488ae0c5e1d3aa152dbccadbaa475fa12a96f4c95cd333ab74,79b358818cb1433efc189590d3497ad5b89c8674af5295e7519ab0230a59280a,5ac6ff77e5215c0090aaf46dd35d22ed7668681ced18a8a5b568edea0f5bf57e,bundles/20260220_095005/seed100/A3/ss_007 | bundles/20260220_095005/seed200/A3/ss_007 | bundles/20260220_095005/seed42/A3/ss_007
AGICE Demo Replay,Wildcard Pattern Matching,A1,3,2,0.666667,6,6,6,a52d17560fb9d20ce9e27b1c1a0a5f86642d64b7da2c3c358950de3b12525bae,87311cdec74eaf15fa7df4924ef100d76cc149f93b57a1a5511cdade262542ec,36542b463f7a609ac76c83c11ae902246400bc8be23e645a6a6ae6d8f7c1d519,2723d18ab06fa0d87c9a6890b7355be07a84c04e1cc556003c353ef54bf8761d,bundles/20260220_095005/seed100/A1/wildcard_match | bundles/20260220_095005/seed200/A1/wildcard_match | bundles/20260220_095005/seed42/A1/wildcard_match
AGICE Demo Replay,Wildcard Pattern Matching,A2,3,3,1.0,6,6,6,021d3b32d9249d09a8d877ae2dcdb617a52d9c9b06824fb16049dc14f13c5e55,5fde98073002b91402749d484d987fa601e1b3d2fcef1e59113764192bdbd8f2,62ec8bbe65301cf00b2469b12acc6b6d4eab22ce3740f460f6a27641c37028e0,c35931f5e992d5906208ad752bbda4b002d671b54c78d4bed79d76af6be374a1,bundles/20260220_095005/seed100/A2/wildcard_match | bundles/20260220_095005/seed200/A2/wildcard_match | bundles/20260220_095005/seed42/A2/wildcard_match
AGICE Demo Replay,Wildcard Pattern Matching,A3,3,3,1.0,6,6,6,0b3a1c811d397fae5ec3a0d7c7dceeadf1fb32baea1d4c674d22e100ea09b01d,cfeb77f1f46ca3cbe2a4bcfea69a838776829cc84feaa6a9722d8462c7a4c3ae,6d65e26ab07078fc04debf8bd50158879fbd52ed84ee73a9a93b445ecffb3cad,77cd2b3f620d7ffb51e275dadbf451424926186fdb14c819eb4f428a7b5948ab,bundles/20260220_095005/seed100/A3/wildcard_match | bundles/20260220_095005/seed200/A3/wildcard_match | bundles/20260220_095005/seed42/A3/wildcard_match
